AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1088.1669213655302,44.6782340165694,-7.793679234923302,256934.64532301872,274396.8485211223,304365.73641631444,6,1680,2087,1
-1100.1334312976205,44.52512966905497,-6.016433385541273,257038.0088643121,274934.47846239,302329.5325166579,12,1615,2164,1
-1113.1576259003896,44.926338211411355,-4.076534988311942,257140.75999722298,275553.6488153935,300159.1475335493,0,1609,2195,1
-1127.2746224958412,45.92439716264416,-1.988890005223053,257247.14407080458,276258.58108439506,297846.4265605239,4,1576,2229,1
-1142.5170448128074,47.562170744567446,0.233349918972756,257362.21537709207,277053.09648454346,295384.6617242849,0,1505,2321,1
-1158.9201619621651,49.881841653168735,2.574981462654152,257491.94311786408,277939.97044933366,292768.60423600517,0,1452,2370,1
-1176.522046931262,52.923752489911436,5.011876087153583,257643.46513711507,278920.2040966169,289994.2990200405,13,1455,2373,1
-1195.3549985589077,56.725770698108384,7.50451027524108,257825.6244505753,279992.2008912928,287058.7060325434,2,1469,2447,1
-1215.4325037168583,61.32453394408504,9.997260362454622,258049.6239275853,281151.17686462856,283959.3684980788,0,1291,2493,1
-1236.7414935776112,66.75777784305158,12.423390178368134,258329.3839059418,282389.3834515645,280694.2215255055,0,1250,2563,1
-1259.2429576195827,73.06559595147056,14.711713275983143,258681.36906152393,283697.14322394034,277261.376717304,0,1145,2576,1
-1282.8747866820474,80.2898741146593,16.791984718959572,259124.0141447801,285063.9412448285,273659.04489035875,0,1105,2657,1
-1307.5524085103539,88.4729482454596,18.59921113320567,259676.99227673167,286479.0892830229,269885.8041961839,0,1051,2685,1
-1333.1684874409639,97.65562396706325,20.07804492245125,260360.43440156916,287932.1098533658,265941.0720353131,0,863,2767,1
-1359.5928309138264,107.8738129577783,21.186205108047904,261194.1988483369,289412.8770045035,261825.62544509693,0,822,2786,1
-1386.6717761197792,119.15448714876439,21.89618658855964,262197.24673001084,290911.4022235615,257542.11891694018,0,687,2849,1
-1414.226522465601,131.51202789380545,22.195708476211845,263387.0362993854,292417.3894748088,253095.55421189163,0,635,2899,1
-1442.0498940669124,144.94551360746505,22.085876525272102,264778.85218187666,293919.7485142839,248493.63951855077,0,523,2918,1
-1469.9015976891744,159.43717066715917,21.57664747085132,266385.06467962754,295406.14745570585,243747.03613392758,0,434,2945,1
-1497.50295813811,174.95149260930347,20.681670571324123,268214.42392154544,296862.689477376,238869.70953877576,2,374,3002,1
-1524.5325084846122,191.43457634994013,19.413575764719067,270271.4689120966,298273.8936888173,233879.54539028963,2,369,3009,1
-1550.6236198282522,208.81337519655548,17.779344560740185,272556.01522215083,299623.06418308703,228799.12690250782,0,278,3043,1
-1575.3636774407812,226.9938896107257,15.77695293592478,275062.7113144672,300892.85493478255,223656.55442134224,1,219,3043,1
-1598.2948283595558,245.85734767028376,13.394918356716632,277780.72333872813,302066.0031613928,218486.12933096744,3,203,3075,1
-1618.9178881189553,265.2544225493659,10.614831736804904,280693.578385818,303126.40558116545,213328.72398399544,0,178,3055,1
-1636.6992499123594,284.998918751523,7.41659538206355,283779.07344814524,304060.2909263133,208231.94696633788,0,178,3065,1
-1651.0832853231784,304.86363723411625,3.7881240524087954,287009.1758569197,304857.2612635775,203250.0694346985,4,175,3038,1
-1661.5141114488817,324.5801465597576,-0.25987177391744,290349.89907857485,305511.3394366602,198443.51491356062,2,184,3017,1
-1667.4613924366747,343.8420402065235,-4.679588579388146,293761.0239794734,306021.76891268574,193878.2631370032,0,219,2996,1
-1668.443691757019,362.31133556412294,-9.37757010888216,297195.6921062704,306392.9691192351,189625.38885383593,0,293,2944,1
